epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3043.26,0.36388,0.27024,0.85622,0.91757,0.91565,0.96325,0.86216,0.46341,0.42848,0.8742,0.0011882,0.0011882,0.0011882
43,3115.45,0.35703,0.26396,0.84991,0.89123,0.82494,0.9212,0.82117,0.46312,0.63108,0.88236,0.0011684,0.0011684,0.0011684
44,3189.9,0.35273,0.26721,0.85264,0.90388,0.8959,0.95502,0.85091,0.47354,0.48572,0.88104,0.0011486,0.0011486,0.0011486
45,3264.11,0.35783,0.26388,0.85364,0.9012,0.87918,0.9459,0.83356,0.4996,0.54743,0.89543,0.0011288,0.0011288,0.0011288
46,3340.1,0.35803,0.26423,0.85181,0.88298,0.83473,0.93328,0.82708,0.48683,0.67083,0.89945,0.001109,0.001109,0.001109
47,3421.47,0.3564,0.2639,0.85218,0.87516,0.84119,0.93004,0.81831,0.48985,0.6845,0.88815,0.0010892,0.0010892,0.0010892
48,3507.47,0.35166,0.2608,0.84934,0.90002,0.89606,0.95398,0.84988,0.46438,0.51532,0.88158,0.0010694,0.0010694,0.0010694
49,3588.67,0.34791,0.25693,0.84835,0.89659,0.89598,0.95461,0.84995,0.46896,0.54629,0.87839,0.0010496,0.0010496,0.0010496
50,3660.05,0.35142,0.25827,0.84911,0.90387,0.89932,0.95352,0.84799,0.46811,0.51406,0.8833,0.0010298,0.0010298,0.0010298
51,3731.4,0.34808,0.25657,0.84933,0.93932,0.88754,0.96083,0.85961,0.45983,0.45256,0.87932,0.00101,0.00101,0.00101
52,3804.64,0.35276,0.25767,0.85282,0.89238,0.87462,0.94768,0.84167,0.48176,0.55691,0.89078,0.0009902,0.0009902,0.0009902
53,3877.11,0.34489,0.25354,0.8479,0.93579,0.92971,0.97035,0.8728,0.45262,0.35798,0.87388,0.0009704,0.0009704,0.0009704
54,3949.57,0.34051,0.24798,0.84612,0.8536,0.8484,0.91921,0.81498,0.4789,0.70909,0.88194,0.0009506,0.0009506,0.0009506
55,4022.37,0.33731,0.24005,0.84344,0.89009,0.83999,0.92737,0.82528,0.47896,0.65246,0.88017,0.0009308,0.0009308,0.0009308
56,4094.53,0.33698,0.24027,0.83948,0.90849,0.86751,0.94052,0.8404,0.4669,0.58712,0.87654,0.000911,0.000911,0.000911
57,4167.52,0.3384,0.24102,0.84456,0.90984,0.84384,0.93682,0.83969,0.45522,0.58874,0.87538,0.0008912,0.0008912,0.0008912
58,4245.61,0.3393,0.24579,0.84481,0.88981,0.85296,0.92047,0.81826,0.47675,0.68829,0.88449,0.0008714,0.0008714,0.0008714
59,4321.66,0.34295,0.24378,0.84498,0.89427,0.84512,0.93081,0.82447,0.48525,0.66196,0.89562,0.0008516,0.0008516,0.0008516
60,4396.22,0.34168,0.24131,0.8483,0.91978,0.88374,0.95321,0.8515,0.46789,0.55926,0.8893,0.0008318,0.0008318,0.0008318
61,4470.99,0.33542,0.23722,0.84345,0.93396,0.92059,0.96552,0.86829,0.44937,0.41095,0.865,0.000812,0.000812,0.000812
62,4547.13,0.33318,0.23444,0.84036,0.92188,0.92629,0.96432,0.86104,0.46751,0.42587,0.88108,0.0007922,0.0007922,0.0007922
63,4631.86,0.33849,0.23545,0.84235,0.90161,0.87387,0.94675,0.84525,0.46214,0.54513,0.87571,0.0007724,0.0007724,0.0007724
64,4706.26,0.33111,0.23092,0.8413,0.9261,0.8427,0.93392,0.83293,0.47282,0.59702,0.88435,0.0007526,0.0007526,0.0007526
65,4779.67,0.33243,0.23512,0.84136,0.90812,0.86741,0.94932,0.84716,0.46655,0.5505,0.888,0.0007328,0.0007328,0.0007328
66,4853.43,0.32708,0.23018,0.84053,0.90107,0.87272,0.94253,0.84198,0.46761,0.59581,0.87984,0.000713,0.000713,0.000713
67,4926.51,0.32104,0.22643,0.83618,0.90459,0.86892,0.94694,0.84688,0.45762,0.5045,0.87838,0.0006932,0.0006932,0.0006932
68,4999.1,0.3261,0.23136,0.83847,0.90862,0.88778,0.94856,0.8461,0.46367,0.54344,0.87512,0.0006734,0.0006734,0.0006734
69,5072.04,0.32887,0.23184,0.84117,0.91426,0.8693,0.94343,0.83879,0.48213,0.63046,0.89322,0.0006536,0.0006536,0.0006536
